id,group,measure_1,measure_2,category_1,binary_flag,score,source_type,source_seed
G2-S009,Group B,7.269513,1.832455,Level B,Yes,56.213707,simulated,27
G2-S010,Group B,4.805650,4.224078,Level A,No,52.700642,simulated,27
G2-S011,Group B,6.749739,2.217295,Level A,Yes,,simulated,27
G2-S012,Group B,5.174197,1.347126,Level A,No,51.507182,simulated,27
G2-S013,Group B,2.724989,1.951852,Level C,Yes,49.103657,simulated,27
G2-S014,Group B,7.292513,4.361326,Level B,No,36.369927,simulated,27
G2-S015,Group B,4.193754,5.843706,Level A,No,51.451779,simulated,27
G2-S016,Group B,2.834813,2.310348,Level A,No,44.097720,simulated,27
G2-S017,Group B,5.545568,4.681388,Level B,Yes,64.006420,simulated,27
G2-S018,Group B,3.860323,3.040943,Level B,Yes,46.568999,simulated,27
G2-S019,Group B,4.841068,2.649671,Level C,Yes,66.047851,simulated,27
G2-S020,Group B,5.475090,2.846514,Level C,No,55.891821,simulated,27
G2-S021,Group B,7.048955,4.326251,Level B,No,52.621066,simulated,27
G2-S022,Group B,5.920277,2.795174,Level C,Yes,56.121793,simulated,27
G2-S023,Group B,5.610338,2.318692,Level A,No,48.238440,simulated,27
G2-S024,Group B,4.294780,2.302880,Level B,No,50.015913,simulated,27
G2-S025,Group B,6.364651,1.828815,Level A,No,43.753220,simulated,27
G2-S026,Group B,4.449019,2.878180,Level A,No,49.808136,simulated,27
G2-S027,Group B,4.855549,3.403843,Level B,Yes,55.876716,simulated,27
G2-S028,Group B,5.152857,,,No,,simulated,27
G2-S029,Group B,5.314691,2.149119,Level A,No,56.007755,simulated,27
G2-S030,Group B,5.914370,2.820655,Level C,No,53.163259,simulated,27
G3-S001,Group C,3.604551,2.070967,Level A,Yes,56.995835,simulated,27
G3-S002,Group C,4.963698,,Level B,Yes,40.210724,simulated,27
G3-S003,Group C,4.066722,3.161339,Level A,Yes,,simulated,27
G3-S004,Group C,2.407898,1.036934,Level C,Yes,44.992843,simulated,27
G3-S005,Group C,5.720916,5.435802,Level A,No,42.577764,simulated,27
G3-S006,Group C,7.980449,3.238047,Level C,,58.541951,simulated,27
G3-S007,Group C,6.214217,6.582381,Level A,No,36.650896,simulated,27
G3-S008,Group C,2.906993,2.277304,Level A,Yes,46.039870,simulated,27
G3-S009,Group C,5.361476,2.416398,Level B,No,72.778185,simulated,27
G3-S010,Group C,3.927775,3.999912,Level A,No,43.351801,simulated,27
G3-S011,Group C,6.190262,2.984761,Level B,No,40.106866,simulated,27
G3-S012,Group C,4.934150,2.017654,,Yes,57.009450,simulated,27
G3-S013,Group C,5.066118,4.053148,Level B,Yes,42.102812,simulated,27
G3-S014,Group C,5.039282,4.839913,Level A,No,67.489072,simulated,27
G3-S015,Group C,5.638558,3.183510,Level C,Yes,62.415699,simulated,27
G3-S016,Group C,4.241854,2.735624,Level B,No,41.539779,simulated,27
G3-S017,Group C,4.589451,2.533225,Level A,Yes,47.021271,simulated,27
G3-S018,Group C,5.115876,1.388420,Level B,Yes,38.591970,simulated,27
G3-S019,Group C,5.141461,1.407716,Level A,No,41.516500,simulated,27
G3-S020,Group C,5.723615,2.442847,Level B,No,62.490125,simulated,27
G3-S021,Group C,5.285101,2.424975,,Yes,51.589102,simulated,27
G3-S022,Group C,4.602336,3.890857,Level A,No,47.660423,simulated,27
G3-S023,Group C,6.035101,3.093385,Level A,No,59.383908,simulated,27
G3-S024,Group C,4.751336,,Level A,No,50.136038,simulated,27
G3-S025,Group C,3.471220,6.320817,Level A,No,,simulated,27
G3-S026,Group C,3.328381,4.362590,Level A,No,53.731918,simulated,27
G3-S027,Group C,,1.403929,Level B,Yes,58.977624,simulated,27
G3-S028,Group C,3.420955,2.378882,Level B,No,57.722615,simulated,27
G3-S029,Group C,5.903369,,Level A,No,26.902429,simulated,27
G3-S030,Group C,4.256982,1.571891,Level B,No,56.865678,simulated,27
