facet,group,exposure,effect,ci_lower,ci_upper,reference_exposure,reference_effect,exposure_label,effect_measure,effect_scale,interval_level,interval_type,source_type,source_seed
Scenario A,Group 1,0.4,1.04952337,0.86981512,1.26636027,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,0.6,1.07858233,0.88551998,1.31373641,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,0.8,1.11048677,0.90904055,1.35657409,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,1.0,1.14522020,0.93922800,1.39639075,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,1.2,1.18276032,0.96359062,1.45178038,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,1.4,1.22307543,0.98716641,1.51536104,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,1.6,1.26612069,1.01392388,1.58104731,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,1.8,1.31183422,1.05427307,1.63231810,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,2.0,1.36013307,1.07465141,1.72145306,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,2.2,1.41090918,1.10796087,1.79669224,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,2.4,1.46402518,1.15921098,1.84899018,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,2.6,1.51931028,1.18349989,1.95040468,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,2.8,1.57655624,1.21744795,2.04159002,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,3.0,1.63551351,1.27418236,2.09931052,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-3.0,1.70184969,1.31876497,2.19621572,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-2.8,1.61919050,1.26386972,2.07440516,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-2.6,1.54274263,1.20174100,1.98050564,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-2.4,1.47221196,1.16152225,1.86600648,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-2.2,1.40731418,1.11491718,1.77639490,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-2.0,1.34777746,1.07605456,1.68811521,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-1.8,1.29334460,1.03756562,1.61217780,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-1.6,1.24377493,1.00563199,1.53831231,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-1.4,1.19884589,0.96666225,1.48679798,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-1.2,1.15835447,0.94337910,1.42231800,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-1.0,1.12211841,0.90998493,1.38370394,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-0.8,1.08997750,0.90067121,1.31907286,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-0.6,1.06179468,0.88195787,1.27830137,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-0.4,1.03745740,0.86415562,1.24551391,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,-0.2,1.01687892,0.84865416,1.21845008,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,0.0,1.00000000,0.84010534,1.19032692,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,0.2,0.98679078,0.82777880,1.17634813,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,0.4,0.97725303,0.80647855,1.18418958,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,0.6,0.97142298,0.79864165,1.18158452,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,0.8,0.96937465,0.79190525,1.18661572,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,1.0,0.97122404,0.79632744,1.18453301,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,1.2,0.97713418,0.79654235,1.19866973,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,1.4,0.98732138,0.79601009,1.22461199,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,1.6,1.00206287,0.80138252,1.25299712,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,1.8,1.02170620,0.81332417,1.28347786,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,2.0,1.04668081,0.83863702,1.30633478,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,2.2,1.07751221,0.85597618,1.35638418,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,2.4,1.11483960,0.87182685,1.42558963,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,2.6,1.15943754,0.90147069,1.49122476,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,2.8,1.21224291,0.94121069,1.56132190,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 2,3.0,1.27438840,0.98151627,1.65464989,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-3.0,0.67670612,0.52646409,0.86982414,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-2.8,0.70176156,0.54560027,0.90261922,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-2.6,0.72697473,0.57086025,0.92578219,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-2.4,0.75222475,0.59443816,0.95189394,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-2.2,0.77737901,0.61434889,0.98367251,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-2.0,0.80229334,0.63349090,1.01607552,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-1.8,0.82681255,0.65895747,1.03742505,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-1.6,0.85077111,0.68750467,1.05280955,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-1.4,0.87399414,0.70462037,1.08408129,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-1.2,0.89629862,0.72705715,1.10493545,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-1.0,0.91749490,0.74839081,1.12480924,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-0.8,0.93738852,0.77428026,1.13485682,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-0.6,0.95578220,0.78395195,1.16527500,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-0.4,0.97247825,0.81283137,1.16348113,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,-0.2,0.98728109,0.82342264,1.18374683,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,0.0,1.00000000,0.83402745,1.19900131,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,0.2,1.01045216,0.84705669,1.20536627,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,0.4,1.01846567,0.83962906,1.23539354,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,0.6,1.02388274,0.84640690,1.23857196,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,0.8,1.02656285,0.83937080,1.25550148,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,1.0,1.02638588,0.83697835,1.25865618,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,1.2,1.02325508,0.83396425,1.25551059,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,1.4,1.01709979,0.81643132,1.26709003,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,1.6,1.00787797,0.80793326,1.25730434,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,1.8,0.99557818,0.79787286,1.24227301,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,2.0,0.98022130,0.77778692,1.23534320,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,2.2,0.96186151,0.76249019,1.21336324,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,2.4,0.94058689,0.74093883,1.19403067,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,2.6,0.91651918,0.71512389,1.17463199,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,2.8,0.88981305,0.69558139,1.13828125,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 1,3.0,0.86065453,0.66119955,1.12027637,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-3.0,1.02074628,0.79173006,1.31600784,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-2.8,0.99140656,0.76557242,1.28385892,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-2.6,0.96794855,0.76288357,1.22813549,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-2.4,0.94971693,0.74850933,1.20501135,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-2.2,0.93616506,0.73924721,1.18553713,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-2.0,0.92683398,0.74152980,1.15844464,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-1.8,0.92133518,0.73231511,1.15914381,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-1.6,0.91933645,0.73842477,1.14457092,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-1.4,0.92054992,0.74679086,1.13473826,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-1.2,0.92472196,0.75171909,1.13754021,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-1.0,0.93162445,0.76359120,1.13663452,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-0.8,0.94104717,0.77561186,1.14176926,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-0.6,0.95279099,0.79194765,1.14630136,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-0.4,0.96666177,0.80568989,1.15979484,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,-0.2,0.98246485,0.81908619,1.17843176,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,0.0,1.00000000,0.84504708,1.18336602,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,0.2,1.01905683,0.84789282,1.22477368,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,0.4,1.03941062,0.86202879,1.25329277,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,0.6,1.06081871,0.87006236,1.29339733,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,0.8,1.08301727,0.88905022,1.31930277,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,1.0,1.10571884,0.90179690,1.35575334,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,1.2,1.12861048,0.91451067,1.39283407,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,1.4,1.15135277,0.93605011,1.41617761,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,1.6,1.17357980,0.93869131,1.46724438,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,1.8,1.19490025,0.94900494,1.50450915,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,2.0,1.21489966,0.96599221,1.52794316,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,2.2,1.23314409,0.97950335,1.55246467,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,2.4,1.24918516,0.98053000,1.59144908,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,2.6,1.26256664,0.98185688,1.62353043,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,2.8,1.27283242,0.98423620,1.64605039,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario B,Group 2,3.0,1.27953596,0.98675279,1.65919194,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
