curve_id,rank,running_score,data_status,simulation_seed
Collection A,55,0.299301,SIMULATED,107
Collection A,56,0.296899,SIMULATED,107
Collection A,57,0.294215,SIMULATED,107
Collection A,58,0.291253,SIMULATED,107
Collection A,59,0.288018,SIMULATED,107
Collection A,60,0.284516,SIMULATED,107
Collection A,61,0.280752,SIMULATED,107
Collection A,62,0.276732,SIMULATED,107
Collection A,63,0.272462,SIMULATED,107
Collection A,64,0.267948,SIMULATED,107
Collection A,65,0.263196,SIMULATED,107
Collection A,66,0.258214,SIMULATED,107
Collection A,67,0.253007,SIMULATED,107
Collection A,68,0.247584,SIMULATED,107
Collection A,69,0.241951,SIMULATED,107
Collection A,70,0.236115,SIMULATED,107
Collection A,71,0.230084,SIMULATED,107
Collection A,72,0.223867,SIMULATED,107
Collection A,73,0.217470,SIMULATED,107
Collection A,74,0.210901,SIMULATED,107
Collection A,75,0.204170,SIMULATED,107
Collection A,76,0.197283,SIMULATED,107
Collection A,77,0.190249,SIMULATED,107
Collection A,78,0.183078,SIMULATED,107
Collection A,79,0.175776,SIMULATED,107
Collection A,80,0.168353,SIMULATED,107
Collection A,81,0.160818,SIMULATED,107
Collection A,82,0.153179,SIMULATED,107
Collection A,83,0.145445,SIMULATED,107
Collection A,84,0.137624,SIMULATED,107
Collection A,85,0.129727,SIMULATED,107
Collection A,86,0.121760,SIMULATED,107
Collection A,87,0.113734,SIMULATED,107
Collection A,88,0.105657,SIMULATED,107
Collection A,89,0.097538,SIMULATED,107
Collection A,90,0.089386,SIMULATED,107
Collection A,91,0.081210,SIMULATED,107
Collection A,92,0.073018,SIMULATED,107
Collection A,93,0.064819,SIMULATED,107
Collection A,94,0.056621,SIMULATED,107
Collection A,95,0.048434,SIMULATED,107
Collection A,96,0.040266,SIMULATED,107
Collection A,97,0.032125,SIMULATED,107
Collection A,98,0.024020,SIMULATED,107
Collection A,99,0.015959,SIMULATED,107
Collection A,100,0.007949,SIMULATED,107
Collection A,101,0.000000,SIMULATED,107
Collection B,1,-0.000000,SIMULATED,107
Collection B,2,-0.006811,SIMULATED,107
Collection B,3,-0.013668,SIMULATED,107
Collection B,4,-0.020565,SIMULATED,107
Collection B,5,-0.027493,SIMULATED,107
Collection B,6,-0.034447,SIMULATED,107
Collection B,7,-0.041419,SIMULATED,107
Collection B,8,-0.048402,SIMULATED,107
Collection B,9,-0.055388,SIMULATED,107
Collection B,10,-0.062371,SIMULATED,107
Collection B,11,-0.069343,SIMULATED,107
Collection B,12,-0.076297,SIMULATED,107
Collection B,13,-0.083226,SIMULATED,107
Collection B,14,-0.090121,SIMULATED,107
Collection B,15,-0.096975,SIMULATED,107
Collection B,16,-0.103782,SIMULATED,107
Collection B,17,-0.110534,SIMULATED,107
Collection B,18,-0.117222,SIMULATED,107
Collection B,19,-0.123840,SIMULATED,107
Collection B,20,-0.130381,SIMULATED,107
Collection B,21,-0.136836,SIMULATED,107
Collection B,22,-0.143200,SIMULATED,107
Collection B,23,-0.149463,SIMULATED,107
Collection B,24,-0.155620,SIMULATED,107
Collection B,25,-0.161663,SIMULATED,107
Collection B,26,-0.167584,SIMULATED,107
Collection B,27,-0.173378,SIMULATED,107
Collection B,28,-0.179037,SIMULATED,107
Collection B,29,-0.184553,SIMULATED,107
Collection B,30,-0.189922,SIMULATED,107
Collection B,31,-0.195135,SIMULATED,107
Collection B,32,-0.200187,SIMULATED,107
Collection B,33,-0.205070,SIMULATED,107
Collection B,34,-0.209780,SIMULATED,107
Collection B,35,-0.214310,SIMULATED,107
Collection B,36,-0.218653,SIMULATED,107
Collection B,37,-0.222805,SIMULATED,107
Collection B,38,-0.226759,SIMULATED,107
Collection B,39,-0.230510,SIMULATED,107
Collection B,40,-0.234054,SIMULATED,107
Collection B,41,-0.237384,SIMULATED,107
Collection B,42,-0.240496,SIMULATED,107
Collection B,43,-0.243386,SIMULATED,107
Collection B,44,-0.246048,SIMULATED,107
Collection B,45,-0.248479,SIMULATED,107
Collection B,46,-0.250675,SIMULATED,107
Collection B,47,-0.252632,SIMULATED,107
Collection B,48,-0.254346,SIMULATED,107
Collection B,49,-0.255814,SIMULATED,107
Collection B,50,-0.257033,SIMULATED,107
Collection B,51,-0.258000,SIMULATED,107
Collection B,52,-0.258712,SIMULATED,107
Collection B,53,-0.259168,SIMULATED,107
Collection B,54,-0.259364,SIMULATED,107
Collection B,55,-0.259299,SIMULATED,107
Collection B,56,-0.258972,SIMULATED,107
Collection B,57,-0.258381,SIMULATED,107
Collection B,58,-0.257525,SIMULATED,107
Collection B,59,-0.256403,SIMULATED,107
Collection B,60,-0.255016,SIMULATED,107
Collection B,61,-0.253361,SIMULATED,107
Collection B,62,-0.251441,SIMULATED,107
Collection B,63,-0.249254,SIMULATED,107
Collection B,64,-0.246803,SIMULATED,107
Collection B,65,-0.244086,SIMULATED,107
Collection B,66,-0.241106,SIMULATED,107
Collection B,67,-0.237865,SIMULATED,107
Collection B,68,-0.234363,SIMULATED,107
Collection B,69,-0.230603,SIMULATED,107
Collection B,70,-0.226587,SIMULATED,107
Collection B,71,-0.222318,SIMULATED,107
Collection B,72,-0.217798,SIMULATED,107
Collection B,73,-0.213032,SIMULATED,107
Collection B,74,-0.208021,SIMULATED,107
Collection B,75,-0.202770,SIMULATED,107
Collection B,76,-0.197283,SIMULATED,107
Collection B,77,-0.191564,SIMULATED,107
Collection B,78,-0.185617,SIMULATED,107
Collection B,79,-0.179448,SIMULATED,107
Collection B,80,-0.173060,SIMULATED,107
Collection B,81,-0.166461,SIMULATED,107
Collection B,82,-0.159654,SIMULATED,107
Collection B,83,-0.152646,SIMULATED,107
Collection B,84,-0.145443,SIMULATED,107
Collection B,85,-0.138051,SIMULATED,107
Collection B,86,-0.130477,SIMULATED,107
Collection B,87,-0.122727,SIMULATED,107
Collection B,88,-0.114808,SIMULATED,107
Collection B,89,-0.106727,SIMULATED,107
Collection B,90,-0.098491,SIMULATED,107
Collection B,91,-0.090109,SIMULATED,107
Collection B,92,-0.081588,SIMULATED,107
Collection B,93,-0.072936,SIMULATED,107
Collection B,94,-0.064160,SIMULATED,107
Collection B,95,-0.055270,SIMULATED,107
Collection B,96,-0.046273,SIMULATED,107
Collection B,97,-0.037179,SIMULATED,107
Collection B,98,-0.027995,SIMULATED,107
Collection B,99,-0.018732,SIMULATED,107
Collection B,100,-0.009397,SIMULATED,107
Collection B,101,-0.000000,SIMULATED,107
