observation_id,sample_id,x,y,category,sample_order,source_type,source_seed
obs_041,Sample 2,-1.02963,0.20942,State A,2,simulated,41
obs_042,Sample 2,-1.14797,0.61953,State A,2,simulated,41
obs_043,Sample 2,-1.35075,0.77591,State A,2,simulated,41
obs_044,Sample 2,-1.54168,0.75531,State A,2,simulated,41
obs_045,Sample 2,-1.67415,0.60646,State A,2,simulated,41
obs_046,Sample 2,-1.24679,-0.15570,State A,2,simulated,41
obs_047,Sample 2,-1.21271,0.39601,State A,2,simulated,41
obs_048,Sample 2,-1.07661,0.28057,State A,2,simulated,41
obs_049,Sample 2,-1.30113,0.17106,State A,2,simulated,41
obs_050,Sample 2,-1.22091,0.57243,State A,2,simulated,41
obs_051,Sample 2,-1.10959,0.43485,State A,2,simulated,41
obs_052,Sample 2,-1.19305,0.62192,State A,2,simulated,41
obs_053,Sample 2,-0.53675,0.83695,State A,2,simulated,41
obs_054,Sample 2,-1.61000,0.02035,State A,2,simulated,41
obs_055,Sample 2,0.43912,0.85486,State B,2,simulated,41
obs_056,Sample 2,1.33284,0.85305,State B,2,simulated,41
obs_057,Sample 2,0.78011,0.89464,State B,2,simulated,41
obs_058,Sample 2,0.18526,0.63216,State B,2,simulated,41
obs_059,Sample 2,0.53316,0.72098,State B,2,simulated,41
obs_060,Sample 2,0.64700,0.82393,State B,2,simulated,41
obs_061,Sample 2,0.68156,0.51681,State B,2,simulated,41
obs_062,Sample 2,1.05097,1.08002,State B,2,simulated,41
obs_063,Sample 2,0.53448,0.81882,State B,2,simulated,41
obs_064,Sample 2,0.48688,0.43660,State B,2,simulated,41
obs_065,Sample 2,0.94964,0.83081,State B,2,simulated,41
obs_066,Sample 2,1.06789,1.34987,State B,2,simulated,41
obs_067,Sample 2,0.24836,-1.30420,State C,2,simulated,41
obs_068,Sample 2,0.80406,-1.14848,State C,2,simulated,41
obs_069,Sample 2,0.44697,-1.11091,State C,2,simulated,41
obs_070,Sample 2,0.77626,-1.36650,State C,2,simulated,41
obs_071,Sample 2,0.67267,-0.70629,State C,2,simulated,41
obs_072,Sample 2,0.48069,-1.10155,State C,2,simulated,41
obs_073,Sample 2,0.78067,-0.74164,State C,2,simulated,41
obs_074,Sample 2,0.94436,-0.87208,State C,2,simulated,41
obs_075,Sample 2,-0.06317,-1.12216,State D,2,simulated,41
obs_076,Sample 2,-0.05676,-0.79358,State D,2,simulated,41
obs_077,Sample 2,-0.64194,-1.33368,State D,2,simulated,41
obs_078,Sample 2,-0.08372,-0.87922,State D,2,simulated,41
obs_079,Sample 2,-0.38032,-0.52557,State D,2,simulated,41
obs_080,Sample 2,-0.66765,-0.73539,State D,2,simulated,41
obs_081,Sample 3,-0.98578,0.69393,State A,3,simulated,41
obs_082,Sample 3,-1.14983,0.74977,State A,3,simulated,41
obs_083,Sample 3,-1.40817,0.23772,State A,3,simulated,41
obs_084,Sample 3,-1.44335,-0.00456,State A,3,simulated,41
obs_085,Sample 3,-0.73593,0.32873,State A,3,simulated,41
obs_086,Sample 3,-1.25807,0.30448,State A,3,simulated,41
obs_087,Sample 3,-1.20369,-0.15075,State A,3,simulated,41
obs_088,Sample 3,-1.38541,0.35555,State A,3,simulated,41
obs_089,Sample 3,-1.61676,0.19403,State A,3,simulated,41
obs_090,Sample 3,-1.37052,-0.01923,State A,3,simulated,41
obs_091,Sample 3,0.34276,0.78489,State B,3,simulated,41
obs_092,Sample 3,0.81539,1.09659,State B,3,simulated,41
obs_093,Sample 3,0.28321,0.99083,State B,3,simulated,41
obs_094,Sample 3,0.92869,0.48686,State B,3,simulated,41
obs_095,Sample 3,0.33935,1.09799,State B,3,simulated,41
obs_096,Sample 3,0.96827,1.10343,State B,3,simulated,41
obs_097,Sample 3,1.23564,1.14347,State B,3,simulated,41
obs_098,Sample 3,1.16675,0.94947,State B,3,simulated,41
obs_099,Sample 3,0.75417,0.70879,State B,3,simulated,41
obs_100,Sample 3,0.78287,0.84878,State B,3,simulated,41
obs_101,Sample 3,0.57109,1.11878,State B,3,simulated,41
obs_102,Sample 3,0.86325,0.83374,State B,3,simulated,41
obs_103,Sample 3,0.81548,1.04103,State B,3,simulated,41
obs_104,Sample 3,0.88428,0.76836,State B,3,simulated,41
obs_105,Sample 3,0.84901,-1.12391,State C,3,simulated,41
obs_106,Sample 3,0.74556,-1.14080,State C,3,simulated,41
obs_107,Sample 3,1.26780,-1.38771,State C,3,simulated,41
obs_108,Sample 3,0.96018,-1.26543,State C,3,simulated,41
obs_109,Sample 3,1.14369,-1.33594,State C,3,simulated,41
obs_110,Sample 3,0.86897,-1.04525,State C,3,simulated,41
obs_111,Sample 3,0.93598,-1.35197,State C,3,simulated,41
obs_112,Sample 3,0.55372,-0.87498,State C,3,simulated,41
obs_113,Sample 3,0.90574,-1.16668,State C,3,simulated,41
obs_114,Sample 3,0.07624,-1.09808,State C,3,simulated,41
obs_115,Sample 3,-0.76252,-0.93067,State D,3,simulated,41
obs_116,Sample 3,-0.68517,-1.23361,State D,3,simulated,41
obs_117,Sample 3,-0.61028,-0.57009,State D,3,simulated,41
obs_118,Sample 3,-0.37671,-1.05653,State D,3,simulated,41
obs_119,Sample 3,-0.36997,-1.33639,State D,3,simulated,41
obs_120,Sample 3,-0.73169,-0.97305,State D,3,simulated,41
obs_121,Sample 4,-1.36597,0.07511,State A,4,simulated,41
obs_122,Sample 4,-1.25268,0.73992,State A,4,simulated,41
obs_123,Sample 4,-1.26592,0.35921,State A,4,simulated,41
obs_124,Sample 4,-0.73667,-0.42000,State A,4,simulated,41
obs_125,Sample 4,-1.34726,0.48948,State A,4,simulated,41
obs_126,Sample 4,-1.69994,0.13458,State A,4,simulated,41
obs_127,Sample 4,-0.84659,0.27769,State A,4,simulated,41
obs_128,Sample 4,-1.18400,0.82208,State A,4,simulated,41
obs_129,Sample 4,0.17165,1.25694,State B,4,simulated,41
obs_130,Sample 4,0.36135,1.06238,State B,4,simulated,41
obs_131,Sample 4,0.93314,0.98967,State B,4,simulated,41
obs_132,Sample 4,0.67298,1.17998,State B,4,simulated,41
obs_133,Sample 4,0.88605,1.18144,State B,4,simulated,41
obs_134,Sample 4,1.05784,1.11991,State B,4,simulated,41
obs_135,Sample 4,1.28751,0.83618,State B,4,simulated,41
obs_136,Sample 4,0.17913,0.45947,State B,4,simulated,41
obs_137,Sample 4,0.69657,0.59866,State B,4,simulated,41
obs_138,Sample 4,0.63808,0.97746,State B,4,simulated,41
obs_139,Sample 4,1.11677,-1.33087,State C,4,simulated,41
obs_140,Sample 4,0.79454,-1.35961,State C,4,simulated,41
obs_141,Sample 4,0.92115,-1.58256,State C,4,simulated,41
obs_142,Sample 4,1.12246,-1.07509,State C,4,simulated,41
obs_143,Sample 4,1.32585,-0.93809,State C,4,simulated,41
obs_144,Sample 4,0.37023,-1.11321,State C,4,simulated,41
obs_145,Sample 4,0.44823,-0.91659,State C,4,simulated,41
obs_146,Sample 4,1.02977,-0.92632,State C,4,simulated,41
obs_147,Sample 4,0.56197,-1.07155,State C,4,simulated,41
obs_148,Sample 4,1.18576,-1.25182,State C,4,simulated,41
obs_149,Sample 4,0.87943,-1.23324,State C,4,simulated,41
obs_150,Sample 4,0.41329,-0.81343,State C,4,simulated,41
obs_151,Sample 4,0.16980,-0.54685,State C,4,simulated,41
obs_152,Sample 4,1.17368,-1.25961,State C,4,simulated,41
obs_153,Sample 4,-0.88234,-0.98707,State D,4,simulated,41
obs_154,Sample 4,-0.63903,-1.14068,State D,4,simulated,41
obs_155,Sample 4,-0.22380,-0.28702,State D,4,simulated,41
obs_156,Sample 4,-0.57729,-0.75309,State D,4,simulated,41
obs_157,Sample 4,-0.67024,-0.94481,State D,4,simulated,41
obs_158,Sample 4,-0.71364,-0.97194,State D,4,simulated,41
obs_159,Sample 4,-0.49480,-1.04082,State D,4,simulated,41
obs_160,Sample 4,-0.47885,-1.13731,State D,4,simulated,41
obs_161,Sample 5,-1.13102,-0.18628,State A,5,simulated,41
obs_162,Sample 5,-1.08333,0.20715,State A,5,simulated,41
obs_163,Sample 5,-1.09225,0.23640,State A,5,simulated,41
obs_164,Sample 5,-1.27020,0.27443,State A,5,simulated,41
obs_165,Sample 5,-1.36572,0.25390,State A,5,simulated,41
obs_166,Sample 5,-1.86191,0.05109,State A,5,simulated,41
obs_167,Sample 5,0.83008,0.59601,State B,5,simulated,41
obs_168,Sample 5,1.44153,1.34573,State B,5,simulated,41
obs_169,Sample 5,0.29834,1.40880,State B,5,simulated,41
obs_170,Sample 5,0.89374,1.11714,State B,5,simulated,41
obs_171,Sample 5,1.18939,0.81628,State B,5,simulated,41
obs_172,Sample 5,0.87057,1.20472,State B,5,simulated,41
obs_173,Sample 5,0.54421,0.89990,State B,5,simulated,41
obs_174,Sample 5,0.77300,1.05261,State B,5,simulated,41
obs_175,Sample 5,0.36017,-1.01538,State C,5,simulated,41
obs_176,Sample 5,0.46199,-0.76877,State C,5,simulated,41
obs_177,Sample 5,0.49220,-0.79706,State C,5,simulated,41
obs_178,Sample 5,0.66376,-1.14106,State C,5,simulated,41
obs_179,Sample 5,0.90156,-0.84642,State C,5,simulated,41
obs_180,Sample 5,0.57162,-0.72492,State C,5,simulated,41
obs_181,Sample 5,1.08068,-1.46639,State C,5,simulated,41
obs_182,Sample 5,0.90652,-1.51405,State C,5,simulated,41
obs_183,Sample 5,0.68133,-0.77120,State C,5,simulated,41
obs_184,Sample 5,0.82691,-0.86656,State C,5,simulated,41
obs_185,Sample 5,0.63618,-0.81528,State C,5,simulated,41
obs_186,Sample 5,0.31702,-0.48587,State C,5,simulated,41
obs_187,Sample 5,0.05228,-1.05124,State C,5,simulated,41
obs_188,Sample 5,0.19134,-1.07094,State C,5,simulated,41
obs_189,Sample 5,-0.73068,-1.24362,State D,5,simulated,41
obs_190,Sample 5,-0.21568,-1.10356,State D,5,simulated,41
obs_191,Sample 5,-0.75210,-0.95399,State D,5,simulated,41
obs_192,Sample 5,-0.30917,-0.79580,State D,5,simulated,41
obs_193,Sample 5,-0.67312,-0.87649,State D,5,simulated,41
obs_194,Sample 5,-0.49951,-0.96388,State D,5,simulated,41
obs_195,Sample 5,-0.74661,-0.88226,State D,5,simulated,41
obs_196,Sample 5,-0.99702,-0.69076,State D,5,simulated,41
obs_197,Sample 5,-0.27493,-1.00680,State D,5,simulated,41
obs_198,Sample 5,-0.68989,-1.46295,State D,5,simulated,41
obs_199,Sample 5,-0.62038,-0.70664,State D,5,simulated,41
obs_200,Sample 5,-1.03722,-0.75659,State D,5,simulated,41
obs_201,Sample 6,-1.44577,0.75302,State A,6,simulated,41
obs_202,Sample 6,-1.08279,0.59710,State A,6,simulated,41
obs_203,Sample 6,-1.30010,0.20186,State A,6,simulated,41
obs_204,Sample 6,-1.49818,0.67015,State A,6,simulated,41
obs_205,Sample 6,-1.32841,0.29962,State A,6,simulated,41
obs_206,Sample 6,-1.59320,0.30832,State A,6,simulated,41
obs_207,Sample 6,-1.53737,0.29980,State A,6,simulated,41
obs_208,Sample 6,-0.86374,0.10880,State A,6,simulated,41
obs_209,Sample 6,0.46387,1.04354,State B,6,simulated,41
obs_210,Sample 6,0.77553,0.76697,State B,6,simulated,41
obs_211,Sample 6,0.27971,0.99760,State B,6,simulated,41
obs_212,Sample 6,0.88361,1.02606,State B,6,simulated,41
obs_213,Sample 6,1.14578,1.06677,State B,6,simulated,41
obs_214,Sample 6,0.87758,0.59995,State B,6,simulated,41
obs_215,Sample 6,0.69815,0.90655,State B,6,simulated,41
obs_216,Sample 6,0.54535,1.16022,State B,6,simulated,41
obs_217,Sample 6,0.53976,-0.83775,State C,6,simulated,41
obs_218,Sample 6,0.51099,-0.87022,State C,6,simulated,41
obs_219,Sample 6,0.97966,-0.86145,State C,6,simulated,41
obs_220,Sample 6,0.94496,-0.95933,State C,6,simulated,41
obs_221,Sample 6,0.23389,-0.73585,State C,6,simulated,41
obs_222,Sample 6,0.56577,-1.26649,State C,6,simulated,41
obs_223,Sample 6,1.09131,-0.98491,State C,6,simulated,41
obs_224,Sample 6,0.58465,-1.35152,State C,6,simulated,41
obs_225,Sample 6,0.97523,-1.01718,State C,6,simulated,41
obs_226,Sample 6,0.37536,-0.81185,State C,6,simulated,41
obs_227,Sample 6,-0.23910,-0.73539,State D,6,simulated,41
obs_228,Sample 6,-0.26860,-0.67560,State D,6,simulated,41
obs_229,Sample 6,-0.87460,-1.19560,State D,6,simulated,41
obs_230,Sample 6,-0.37322,-0.58829,State D,6,simulated,41
obs_231,Sample 6,0.21428,-1.20526,State D,6,simulated,41
obs_232,Sample 6,-0.53434,-1.09564,State D,6,simulated,41
obs_233,Sample 6,-0.52347,-1.10436,State D,6,simulated,41
obs_234,Sample 6,-0.47896,-0.95817,State D,6,simulated,41
obs_235,Sample 6,-0.26769,-0.92340,State D,6,simulated,41
obs_236,Sample 6,0.05970,-0.65966,State D,6,simulated,41
obs_237,Sample 6,-0.35335,-1.03218,State D,6,simulated,41
obs_238,Sample 6,-0.37257,-1.11953,State D,6,simulated,41
obs_239,Sample 6,-0.49003,-1.06732,State D,6,simulated,41
obs_240,Sample 6,-0.26673,-1.04870,State D,6,simulated,41
