row_id,column_id,value,value_scale,source_type,source_seed
row_05,column_06,-0.046589,Simulated centered score,simulated,54
row_05,column_07,-0.268211,Simulated centered score,simulated,54
row_05,column_08,-0.576852,Simulated centered score,simulated,54
row_05,column_09,-0.574737,Simulated centered score,simulated,54
row_05,column_10,-0.847071,Simulated centered score,simulated,54
row_06,column_01,0.960891,Simulated centered score,simulated,54
row_06,column_02,1.170177,Simulated centered score,simulated,54
row_06,column_03,0.657329,Simulated centered score,simulated,54
row_06,column_04,0.559109,Simulated centered score,simulated,54
row_06,column_05,0.281439,Simulated centered score,simulated,54
row_06,column_06,-0.127009,Simulated centered score,simulated,54
row_06,column_07,-0.144618,Simulated centered score,simulated,54
row_06,column_08,-0.523875,Simulated centered score,simulated,54
row_06,column_09,-0.367214,Simulated centered score,simulated,54
row_06,column_10,-0.600229,Simulated centered score,simulated,54
row_07,column_01,-1.458952,Simulated centered score,simulated,54
row_07,column_02,-1.384188,Simulated centered score,simulated,54
row_07,column_03,-1.214642,Simulated centered score,simulated,54
row_07,column_04,-0.610033,Simulated centered score,simulated,54
row_07,column_05,-0.399280,Simulated centered score,simulated,54
row_07,column_06,0.271614,Simulated centered score,simulated,54
row_07,column_07,0.375291,Simulated centered score,simulated,54
row_07,column_08,0.753036,Simulated centered score,simulated,54
row_07,column_09,0.972123,Simulated centered score,simulated,54
row_07,column_10,0.799332,Simulated centered score,simulated,54
row_08,column_01,-1.177854,Simulated centered score,simulated,54
row_08,column_02,-1.132798,Simulated centered score,simulated,54
row_08,column_03,-1.071223,Simulated centered score,simulated,54
row_08,column_04,-0.674865,Simulated centered score,simulated,54
row_08,column_05,-0.221585,Simulated centered score,simulated,54
row_08,column_06,0.148361,Simulated centered score,simulated,54
row_08,column_07,0.528885,Simulated centered score,simulated,54
row_08,column_08,0.818045,Simulated centered score,simulated,54
row_08,column_09,1.158206,Simulated centered score,simulated,54
row_08,column_10,1.055364,Simulated centered score,simulated,54
row_09,column_01,-1.281910,Simulated centered score,simulated,54
row_09,column_02,-1.155748,Simulated centered score,simulated,54
row_09,column_03,-0.825358,Simulated centered score,simulated,54
row_09,column_04,-0.680155,Simulated centered score,simulated,54
row_09,column_05,-0.421827,Simulated centered score,simulated,54
row_09,column_06,-0.041852,Simulated centered score,simulated,54
row_09,column_07,0.708720,Simulated centered score,simulated,54
row_09,column_08,0.835262,Simulated centered score,simulated,54
row_09,column_09,1.236596,Simulated centered score,simulated,54
row_09,column_10,1.225040,Simulated centered score,simulated,54
row_10,column_01,-1.150808,Simulated centered score,simulated,54
row_10,column_02,-0.783853,Simulated centered score,simulated,54
row_10,column_03,-0.612922,Simulated centered score,simulated,54
row_10,column_04,-0.176138,Simulated centered score,simulated,54
row_10,column_05,-0.347489,Simulated centered score,simulated,54
row_10,column_06,0.117951,Simulated centered score,simulated,54
row_10,column_07,0.624046,Simulated centered score,simulated,54
row_10,column_08,0.557410,Simulated centered score,simulated,54
row_10,column_09,1.156793,Simulated centered score,simulated,54
row_10,column_10,1.058836,Simulated centered score,simulated,54
row_11,column_01,-1.202594,Simulated centered score,simulated,54
row_11,column_02,-1.168488,Simulated centered score,simulated,54
row_11,column_03,-0.586250,Simulated centered score,simulated,54
row_11,column_04,-0.380885,Simulated centered score,simulated,54
row_11,column_05,-0.322309,Simulated centered score,simulated,54
row_11,column_06,-0.000742,Simulated centered score,simulated,54
row_11,column_07,0.799867,Simulated centered score,simulated,54
row_11,column_08,1.098733,Simulated centered score,simulated,54
row_11,column_09,1.117674,Simulated centered score,simulated,54
row_11,column_10,1.569177,Simulated centered score,simulated,54
row_12,column_01,-0.990203,Simulated centered score,simulated,54
row_12,column_02,-0.891785,Simulated centered score,simulated,54
row_12,column_03,-0.561205,Simulated centered score,simulated,54
row_12,column_04,-0.456060,Simulated centered score,simulated,54
row_12,column_05,-0.173950,Simulated centered score,simulated,54
row_12,column_06,0.504000,Simulated centered score,simulated,54
row_12,column_07,0.674013,Simulated centered score,simulated,54
row_12,column_08,0.979498,Simulated centered score,simulated,54
row_12,column_09,1.426221,Simulated centered score,simulated,54
row_12,column_10,1.388386,Simulated centered score,simulated,54
row_13,column_01,-1.611017,Simulated centered score,simulated,54
row_13,column_02,-1.182126,Simulated centered score,simulated,54
row_13,column_03,-1.106319,Simulated centered score,simulated,54
row_13,column_04,-0.750362,Simulated centered score,simulated,54
row_13,column_05,-0.430017,Simulated centered score,simulated,54
row_13,column_06,0.243761,Simulated centered score,simulated,54
row_13,column_07,0.398083,Simulated centered score,simulated,54
row_13,column_08,1.007095,Simulated centered score,simulated,54
row_13,column_09,1.083155,Simulated centered score,simulated,54
row_13,column_10,1.043849,Simulated centered score,simulated,54
row_14,column_01,-1.086799,Simulated centered score,simulated,54
row_14,column_02,-0.967635,Simulated centered score,simulated,54
row_14,column_03,-0.977979,Simulated centered score,simulated,54
row_14,column_04,-0.770572,Simulated centered score,simulated,54
row_14,column_05,-0.239171,Simulated centered score,simulated,54
row_14,column_06,0.107127,Simulated centered score,simulated,54
row_14,column_07,0.262058,Simulated centered score,simulated,54
row_14,column_08,1.195260,Simulated centered score,simulated,54
row_14,column_09,0.830565,Simulated centered score,simulated,54
row_14,column_10,1.313665,Simulated centered score,simulated,54
row_15,column_01,-1.235116,Simulated centered score,simulated,54
row_15,column_02,-1.137555,Simulated centered score,simulated,54
row_15,column_03,-0.925590,Simulated centered score,simulated,54
row_15,column_04,-0.598022,Simulated centered score,simulated,54
row_15,column_05,-0.490626,Simulated centered score,simulated,54
row_15,column_06,-0.083943,Simulated centered score,simulated,54
row_15,column_07,0.740991,Simulated centered score,simulated,54
row_15,column_08,0.826155,Simulated centered score,simulated,54
row_15,column_09,1.335973,Simulated centered score,simulated,54
row_15,column_10,1.237260,Simulated centered score,simulated,54
row_16,column_01,-1.218191,Simulated centered score,simulated,54
row_16,column_02,-1.109358,Simulated centered score,simulated,54
row_16,column_03,-0.871090,Simulated centered score,simulated,54
row_16,column_04,-0.729943,Simulated centered score,simulated,54
row_16,column_05,-0.177611,Simulated centered score,simulated,54
row_16,column_06,0.365593,Simulated centered score,simulated,54
row_16,column_07,0.720809,Simulated centered score,simulated,54
row_16,column_08,0.831946,Simulated centered score,simulated,54
row_16,column_09,1.304527,Simulated centered score,simulated,54
row_16,column_10,1.293620,Simulated centered score,simulated,54
row_17,column_01,-1.104703,Simulated centered score,simulated,54
row_17,column_02,-1.499136,Simulated centered score,simulated,54
row_17,column_03,-0.873642,Simulated centered score,simulated,54
row_17,column_04,-0.520079,Simulated centered score,simulated,54
row_17,column_05,-0.226385,Simulated centered score,simulated,54
row_17,column_06,0.421766,Simulated centered score,simulated,54
row_17,column_07,0.351080,Simulated centered score,simulated,54
row_17,column_08,0.979476,Simulated centered score,simulated,54
row_17,column_09,1.204492,Simulated centered score,simulated,54
row_17,column_10,1.520199,Simulated centered score,simulated,54
row_18,column_01,-1.200891,Simulated centered score,simulated,54
row_18,column_02,-0.945196,Simulated centered score,simulated,54
row_18,column_03,-0.828042,Simulated centered score,simulated,54
row_18,column_04,-0.420595,Simulated centered score,simulated,54
row_18,column_05,0.011466,Simulated centered score,simulated,54
row_18,column_06,0.291118,Simulated centered score,simulated,54
row_18,column_07,0.737335,Simulated centered score,simulated,54
row_18,column_08,1.079468,Simulated centered score,simulated,54
row_18,column_09,1.486786,Simulated centered score,simulated,54
row_18,column_10,1.199580,Simulated centered score,simulated,54
