item,set,data_status,simulation_seed
Item 052,set_a,SIMULATED,157
Item 052,set_b,SIMULATED,157
Item 053,set_a,SIMULATED,157
Item 054,set_b,SIMULATED,157
Item 055,set_d,SIMULATED,157
Item 055,set_e,SIMULATED,157
Item 056,set_a,SIMULATED,157
Item 056,set_b,SIMULATED,157
Item 056,set_c,SIMULATED,157
Item 056,set_d,SIMULATED,157
Item 056,set_g,SIMULATED,157
Item 057,set_e,SIMULATED,157
Item 057,set_f,SIMULATED,157
Item 058,set_d,SIMULATED,157
Item 058,set_e,SIMULATED,157
Item 059,set_d,SIMULATED,157
Item 059,set_e,SIMULATED,157
Item 060,set_b,SIMULATED,157
Item 061,set_b,SIMULATED,157
Item 061,set_c,SIMULATED,157
Item 061,set_d,SIMULATED,157
Item 062,set_f,SIMULATED,157
Item 063,set_c,SIMULATED,157
Item 063,set_e,SIMULATED,157
Item 063,set_g,SIMULATED,157
Item 064,set_d,SIMULATED,157
Item 064,set_e,SIMULATED,157
Item 065,set_a,SIMULATED,157
Item 065,set_b,SIMULATED,157
Item 066,set_a,SIMULATED,157
Item 066,set_b,SIMULATED,157
Item 067,set_b,SIMULATED,157
Item 068,set_d,SIMULATED,157
Item 069,set_b,SIMULATED,157
Item 069,set_c,SIMULATED,157
Item 069,set_d,SIMULATED,157
Item 070,set_e,SIMULATED,157
Item 071,set_g,SIMULATED,157
Item 072,set_a,SIMULATED,157
Item 073,set_e,SIMULATED,157
Item 074,set_c,SIMULATED,157
Item 074,set_e,SIMULATED,157
Item 074,set_g,SIMULATED,157
Item 075,set_d,SIMULATED,157
Item 075,set_e,SIMULATED,157
Item 076,set_b,SIMULATED,157
Item 076,set_c,SIMULATED,157
Item 076,set_d,SIMULATED,157
Item 077,set_d,SIMULATED,157
Item 077,set_e,SIMULATED,157
Item 078,set_d,SIMULATED,157
Item 078,set_e,SIMULATED,157
Item 079,set_d,SIMULATED,157
Item 079,set_e,SIMULATED,157
Item 080,set_c,SIMULATED,157
Item 081,set_g,SIMULATED,157
Item 082,set_f,SIMULATED,157
Item 083,set_f,SIMULATED,157
Item 084,set_d,SIMULATED,157
Item 084,set_e,SIMULATED,157
Item 085,set_b,SIMULATED,157
Item 086,set_d,SIMULATED,157
Item 087,set_c,SIMULATED,157
Item 087,set_e,SIMULATED,157
Item 087,set_g,SIMULATED,157
Item 088,set_a,SIMULATED,157
Item 088,set_b,SIMULATED,157
Item 089,set_e,SIMULATED,157
Item 090,set_a,SIMULATED,157
Item 090,set_c,SIMULATED,157
Item 091,set_g,SIMULATED,157
Item 092,set_a,SIMULATED,157
Item 093,set_e,SIMULATED,157
Item 093,set_f,SIMULATED,157
Item 094,set_a,SIMULATED,157
Item 094,set_b,SIMULATED,157
Item 094,set_c,SIMULATED,157
Item 094,set_d,SIMULATED,157
Item 094,set_g,SIMULATED,157
Item 095,set_e,SIMULATED,157
Item 095,set_f,SIMULATED,157
Item 096,set_a,SIMULATED,157
Item 096,set_c,SIMULATED,157
Item 097,set_e,SIMULATED,157
Item 098,set_c,SIMULATED,157
Item 099,set_a,SIMULATED,157
Item 099,set_c,SIMULATED,157
Item 100,set_d,SIMULATED,157
Item 100,set_e,SIMULATED,157
Item 101,set_c,SIMULATED,157
Item 101,set_e,SIMULATED,157
Item 101,set_g,SIMULATED,157
Item 102,set_a,SIMULATED,157
Item 103,set_b,SIMULATED,157
Item 103,set_c,SIMULATED,157
Item 103,set_d,SIMULATED,157
Item 104,set_a,SIMULATED,157
Item 104,set_c,SIMULATED,157
Item 104,set_f,SIMULATED,157
Item 105,set_a,SIMULATED,157
Item 105,set_b,SIMULATED,157
Item 105,set_e,SIMULATED,157
Item 106,set_a,SIMULATED,157
Item 107,set_b,SIMULATED,157
Item 108,set_a,SIMULATED,157
Item 108,set_c,SIMULATED,157
Item 108,set_f,SIMULATED,157
Item 109,set_a,SIMULATED,157
Item 109,set_c,SIMULATED,157
Item 110,set_f,SIMULATED,157
Item 111,set_e,SIMULATED,157
Item 112,set_g,SIMULATED,157
Item 113,set_b,SIMULATED,157
Item 114,set_a,SIMULATED,157
Item 114,set_c,SIMULATED,157
Item 114,set_f,SIMULATED,157
Item 115,set_a,SIMULATED,157
Item 115,set_b,SIMULATED,157
Item 116,set_c,SIMULATED,157
Item 116,set_e,SIMULATED,157
Item 116,set_g,SIMULATED,157
Item 117,set_d,SIMULATED,157
Item 118,set_e,SIMULATED,157
Item 118,set_f,SIMULATED,157
Item 119,set_e,SIMULATED,157
Item 120,set_b,SIMULATED,157
Item 120,set_c,SIMULATED,157
Item 120,set_d,SIMULATED,157
