facet,sample,component,value,source_type,source_seed
Panel A,F1-S05,Component G,0.241658096238,simulated,1
Panel A,F1-S05,Component H,0.057348765847,simulated,1
Panel A,F1-S06,Component A,0.257626813323,simulated,1
Panel A,F1-S06,Component B,0.081800187269,simulated,1
Panel A,F1-S06,Component C,0.144984393081,simulated,1
Panel A,F1-S06,Component D,0.161311220691,simulated,1
Panel A,F1-S06,Component E,0.044356451598,simulated,1
Panel A,F1-S06,Component F,0.006517135386,simulated,1
Panel A,F1-S06,Component G,0.172614452309,simulated,1
Panel A,F1-S06,Component H,0.130789346343,simulated,1
Panel A,F1-S07,Component A,0.227929413851,simulated,1
Panel A,F1-S07,Component B,0.109714271088,simulated,1
Panel A,F1-S07,Component C,0.100441822438,simulated,1
Panel A,F1-S07,Component D,0.062425726183,simulated,1
Panel A,F1-S07,Component E,0.179609504838,simulated,1
Panel A,F1-S07,Component F,0.011456336143,simulated,1
Panel A,F1-S07,Component G,0.065512406023,simulated,1
Panel A,F1-S07,Component H,0.242910519436,simulated,1
Panel B,F2-S01,Component A,0.236288208634,simulated,1
Panel B,F2-S01,Component B,0.064411671107,simulated,1
Panel B,F2-S01,Component C,0.039074593819,simulated,1
Panel B,F2-S01,Component D,0.094589534342,simulated,1
Panel B,F2-S01,Component E,0.014620845154,simulated,1
Panel B,F2-S01,Component F,0.032456185721,simulated,1
Panel B,F2-S01,Component G,0.199444809057,simulated,1
Panel B,F2-S01,Component H,0.319114152166,simulated,1
Panel B,F2-S02,Component A,0.057720798306,simulated,1
Panel B,F2-S02,Component B,0.160471411537,simulated,1
Panel B,F2-S02,Component C,0.092559323021,simulated,1
Panel B,F2-S02,Component D,0.190625432198,simulated,1
Panel B,F2-S02,Component E,0.086843353015,simulated,1
Panel B,F2-S02,Component F,0.179608360274,simulated,1
Panel B,F2-S02,Component G,0.191801545883,simulated,1
Panel B,F2-S02,Component H,0.040369775766,simulated,1
Panel B,F2-S03,Component A,0.086339365190,simulated,1
Panel B,F2-S03,Component B,0.185220360941,simulated,1
Panel B,F2-S03,Component C,0.046697506171,simulated,1
Panel B,F2-S03,Component D,0.140272187243,simulated,1
Panel B,F2-S03,Component E,0.107820156020,simulated,1
Panel B,F2-S03,Component F,0.039456522966,simulated,1
Panel B,F2-S03,Component G,0.350383004916,simulated,1
Panel B,F2-S03,Component H,0.043810896553,simulated,1
Panel B,F2-S04,Component A,0.034660518763,simulated,1
Panel B,F2-S04,Component B,0.022711235051,simulated,1
Panel B,F2-S04,Component C,0.164020156900,simulated,1
Panel B,F2-S04,Component D,0.086433647540,simulated,1
Panel B,F2-S04,Component E,0.118925218339,simulated,1
Panel B,F2-S04,Component F,0.437496570220,simulated,1
Panel B,F2-S04,Component G,0.059897024103,simulated,1
Panel B,F2-S04,Component H,0.075855629084,simulated,1
Panel B,F2-S05,Component A,0.126217107345,simulated,1
Panel B,F2-S05,Component B,0.125811608714,simulated,1
Panel B,F2-S05,Component C,0.153430123639,simulated,1
Panel B,F2-S05,Component D,0.231554841901,simulated,1
Panel B,F2-S05,Component E,0.071180866995,simulated,1
Panel B,F2-S05,Component F,0.051708120096,simulated,1
Panel B,F2-S05,Component G,0.129771853471,simulated,1
Panel B,F2-S05,Component H,0.110325477839,simulated,1
Panel B,F2-S06,Component A,0.237855151065,simulated,1
Panel B,F2-S06,Component B,0.008446644570,simulated,1
Panel B,F2-S06,Component C,0.006035278368,simulated,1
Panel B,F2-S06,Component D,0.142730382667,simulated,1
Panel B,F2-S06,Component E,0.010918755171,simulated,1
Panel B,F2-S06,Component F,0.397936824937,simulated,1
Panel B,F2-S06,Component G,0.125419182612,simulated,1
Panel B,F2-S06,Component H,0.070657780610,simulated,1
Panel B,F2-S07,Component A,0.376050494602,simulated,1
Panel B,F2-S07,Component B,0.130010334932,simulated,1
Panel B,F2-S07,Component C,0.033957287530,simulated,1
Panel B,F2-S07,Component D,0.088497954734,simulated,1
Panel B,F2-S07,Component E,0.009652601726,simulated,1
Panel B,F2-S07,Component F,0.104455602865,simulated,1
Panel B,F2-S07,Component G,0.105965527336,simulated,1
Panel B,F2-S07,Component H,0.151410196275,simulated,1
Panel B,F2-S08,Component A,0.115319987209,simulated,1
Panel B,F2-S08,Component B,0.130586554744,simulated,1
Panel B,F2-S08,Component C,0.138641351345,simulated,1
Panel B,F2-S08,Component D,0.090135509478,simulated,1
Panel B,F2-S08,Component E,0.103730608106,simulated,1
Panel B,F2-S08,Component F,0.178602354418,simulated,1
Panel B,F2-S08,Component G,0.218717770541,simulated,1
Panel B,F2-S08,Component H,0.024265864159,simulated,1
Panel B,F2-S09,Component A,0.137830936182,simulated,1
Panel B,F2-S09,Component B,0.061032605738,simulated,1
Panel B,F2-S09,Component C,0.053227098968,simulated,1
Panel B,F2-S09,Component D,0.311109876701,simulated,1
Panel B,F2-S09,Component E,0.118895682699,simulated,1
Panel B,F2-S09,Component F,0.173874820011,simulated,1
Panel B,F2-S09,Component G,0.072845279837,simulated,1
Panel B,F2-S09,Component H,0.071183699864,simulated,1
Panel C,F3-S01,Component A,0.087366769389,simulated,1
Panel C,F3-S01,Component B,0.086989273102,simulated,1
Panel C,F3-S01,Component C,0.320890543066,simulated,1
Panel C,F3-S01,Component D,0.050072058329,simulated,1
Panel C,F3-S01,Component E,0.042245066610,simulated,1
Panel C,F3-S01,Component F,0.093928320430,simulated,1
Panel C,F3-S01,Component G,0.081294767885,simulated,1
Panel C,F3-S01,Component H,0.237213201189,simulated,1
Panel C,F3-S02,Component A,0.000158643948,simulated,1
Panel C,F3-S02,Component B,0.059568816173,simulated,1
Panel C,F3-S02,Component C,0.418318722167,simulated,1
Panel C,F3-S02,Component D,0.020610972862,simulated,1
Panel C,F3-S02,Component E,0.320861046283,simulated,1
Panel C,F3-S02,Component F,0.084792372489,simulated,1
Panel C,F3-S02,Component G,0.093099666845,simulated,1
Panel C,F3-S02,Component H,0.002589759233,simulated,1
Panel C,F3-S03,Component A,0.024108083790,simulated,1
Panel C,F3-S03,Component B,0.059930749564,simulated,1
Panel C,F3-S03,Component C,0.272091794583,simulated,1
Panel C,F3-S03,Component D,0.167906502736,simulated,1
Panel C,F3-S03,Component E,0.129462425130,simulated,1
Panel C,F3-S03,Component F,0.122219267706,simulated,1
Panel C,F3-S03,Component G,0.094066555398,simulated,1
Panel C,F3-S03,Component H,0.130214621093,simulated,1
Panel C,F3-S04,Component A,0.142159955837,simulated,1
Panel C,F3-S04,Component B,0.041148231340,simulated,1
Panel C,F3-S04,Component C,0.142745909489,simulated,1
Panel C,F3-S04,Component D,0.107562247433,simulated,1
Panel C,F3-S04,Component E,0.236298714847,simulated,1
Panel C,F3-S04,Component F,0.245270482260,simulated,1
Panel C,F3-S04,Component G,0.070815105448,simulated,1
Panel C,F3-S04,Component H,0.013999353346,simulated,1
Panel C,F3-S05,Component A,0.015555456822,simulated,1
Panel C,F3-S05,Component B,0.019361890674,simulated,1
Panel C,F3-S05,Component C,0.325659243438,simulated,1
Panel C,F3-S05,Component D,0.089782084502,simulated,1
Panel C,F3-S05,Component E,0.202418956261,simulated,1
Panel C,F3-S05,Component F,0.053807693580,simulated,1
Panel C,F3-S05,Component G,0.180184589094,simulated,1
Panel C,F3-S05,Component H,0.113230085629,simulated,1
Panel C,F3-S06,Component A,0.065927230901,simulated,1
Panel C,F3-S06,Component B,0.017730963069,simulated,1
Panel C,F3-S06,Component C,0.173474099381,simulated,1
Panel C,F3-S06,Component D,0.327805626108,simulated,1
Panel C,F3-S06,Component E,0.151552040779,simulated,1
Panel C,F3-S06,Component F,0.134792902996,simulated,1
Panel C,F3-S06,Component G,0.094840405045,simulated,1
Panel C,F3-S06,Component H,0.033876731721,simulated,1
Panel C,F3-S07,Component A,0.063438770259,simulated,1
Panel C,F3-S07,Component B,0.044973540143,simulated,1
Panel C,F3-S07,Component C,0.159460577886,simulated,1
Panel C,F3-S07,Component D,0.185547830507,simulated,1
Panel C,F3-S07,Component E,0.207431299038,simulated,1
Panel C,F3-S07,Component F,0.146798878170,simulated,1
Panel C,F3-S07,Component G,0.186544666316,simulated,1
Panel C,F3-S07,Component H,0.005804437681,simulated,1
Panel C,F3-S08,Component A,0.120400398759,simulated,1
Panel C,F3-S08,Component B,0.061414086378,simulated,1
Panel C,F3-S08,Component C,0.260031725415,simulated,1
Panel C,F3-S08,Component D,0.023752752802,simulated,1
Panel C,F3-S08,Component E,0.156019241332,simulated,1
Panel C,F3-S08,Component F,0.005660714167,simulated,1
Panel C,F3-S08,Component G,0.239939922576,simulated,1
Panel C,F3-S08,Component H,0.132781158571,simulated,1
