id,facet,group,value,source_type,source_seed
F2-GA-020,Facet 2,Group A,1.549684,simulated,104
F2-GA-021,Facet 2,Group A,0.292958,simulated,104
F2-GA-022,Facet 2,Group A,0.852322,simulated,104
F2-GA-023,Facet 2,Group A,0.105029,simulated,104
F2-GA-024,Facet 2,Group A,1.964624,simulated,104
F2-GA-025,Facet 2,Group A,-0.824804,simulated,104
F2-GA-026,Facet 2,Group A,-1.198970,simulated,104
F2-GA-027,Facet 2,Group A,-0.778708,simulated,104
F2-GA-028,Facet 2,Group A,0.021521,simulated,104
F2-GA-029,Facet 2,Group A,-0.120448,simulated,104
F2-GA-030,Facet 2,Group A,0.295063,simulated,104
F2-GB-001,Facet 2,Group B,0.050489,simulated,104
F2-GB-002,Facet 2,Group B,-0.518101,simulated,104
F2-GB-003,Facet 2,Group B,-0.279699,simulated,104
F2-GB-004,Facet 2,Group B,0.566814,simulated,104
F2-GB-005,Facet 2,Group B,0.578784,simulated,104
F2-GB-006,Facet 2,Group B,-1.146899,simulated,104
F2-GB-007,Facet 2,Group B,1.660291,simulated,104
F2-GB-008,Facet 2,Group B,-1.146155,simulated,104
F2-GB-009,Facet 2,Group B,0.493174,simulated,104
F2-GB-010,Facet 2,Group B,-0.351114,simulated,104
F2-GB-011,Facet 2,Group B,1.376633,simulated,104
F2-GB-012,Facet 2,Group B,0.216453,simulated,104
F2-GB-013,Facet 2,Group B,1.282065,simulated,104
F2-GB-014,Facet 2,Group B,-1.284224,simulated,104
F2-GB-015,Facet 2,Group B,0.242216,simulated,104
F2-GB-016,Facet 2,Group B,0.835897,simulated,104
F2-GB-017,Facet 2,Group B,-0.011368,simulated,104
F2-GB-018,Facet 2,Group B,2.441437,simulated,104
F2-GB-019,Facet 2,Group B,1.643910,simulated,104
F2-GB-020,Facet 2,Group B,-0.397564,simulated,104
F2-GB-021,Facet 2,Group B,0.591791,simulated,104
F2-GB-022,Facet 2,Group B,0.592348,simulated,104
F2-GB-023,Facet 2,Group B,-0.392196,simulated,104
F2-GB-024,Facet 2,Group B,1.962638,simulated,104
F2-GB-025,Facet 2,Group B,0.269649,simulated,104
F2-GB-026,Facet 2,Group B,0.248597,simulated,104
F2-GB-027,Facet 2,Group B,1.762937,simulated,104
F2-GB-028,Facet 2,Group B,-0.340019,simulated,104
F2-GB-029,Facet 2,Group B,-0.362504,simulated,104
F2-GB-030,Facet 2,Group B,-2.007271,simulated,104
F2-GB-031,Facet 2,Group B,0.417502,simulated,104
F2-GB-032,Facet 2,Group B,3.436322,simulated,104
F2-GB-033,Facet 2,Group B,1.692311,simulated,104
F2-GB-034,Facet 2,Group B,0.679372,simulated,104
F2-GC-001,Facet 2,Group C,-1.030913,simulated,104
F2-GC-002,Facet 2,Group C,-0.355133,simulated,104
F2-GC-003,Facet 2,Group C,-0.396058,simulated,104
F2-GC-004,Facet 2,Group C,-0.143103,simulated,104
F2-GC-005,Facet 2,Group C,0.577014,simulated,104
F2-GC-006,Facet 2,Group C,-0.553985,simulated,104
F2-GC-007,Facet 2,Group C,-0.008254,simulated,104
F2-GC-008,Facet 2,Group C,0.495106,simulated,104
F2-GC-009,Facet 2,Group C,-0.641212,simulated,104
F2-GC-010,Facet 2,Group C,-0.706789,simulated,104
F2-GC-011,Facet 2,Group C,-0.669938,simulated,104
F2-GC-012,Facet 2,Group C,-0.845082,simulated,104
F2-GC-013,Facet 2,Group C,-1.075120,simulated,104
F2-GC-014,Facet 2,Group C,-0.038585,simulated,104
F2-GC-015,Facet 2,Group C,0.362507,simulated,104
F2-GC-016,Facet 2,Group C,-0.051922,simulated,104
F2-GC-017,Facet 2,Group C,-0.565567,simulated,104
F2-GC-018,Facet 2,Group C,-0.590248,simulated,104
F2-GC-019,Facet 2,Group C,-0.198714,simulated,104
F2-GC-020,Facet 2,Group C,-0.648606,simulated,104
F2-GC-021,Facet 2,Group C,1.252797,simulated,104
F2-GC-022,Facet 2,Group C,1.161131,simulated,104
F2-GC-023,Facet 2,Group C,1.523047,simulated,104
F2-GC-024,Facet 2,Group C,1.454447,simulated,104
F2-GC-025,Facet 2,Group C,1.334938,simulated,104
F2-GC-026,Facet 2,Group C,1.016517,simulated,104
F2-GC-027,Facet 2,Group C,1.171897,simulated,104
F2-GC-028,Facet 2,Group C,1.485997,simulated,104
F2-GC-029,Facet 2,Group C,1.750630,simulated,104
F2-GC-030,Facet 2,Group C,1.171363,simulated,104
F2-GD-001,Facet 2,Group D,-3.119583,simulated,104
F2-GD-002,Facet 2,Group D,0.532770,simulated,104
F2-GD-003,Facet 2,Group D,0.672760,simulated,104
F2-GD-004,Facet 2,Group D,0.186621,simulated,104
F2-GD-005,Facet 2,Group D,0.457178,simulated,104
F2-GD-006,Facet 2,Group D,-0.943222,simulated,104
F2-GD-007,Facet 2,Group D,0.130516,simulated,104
F2-GD-008,Facet 2,Group D,0.559631,simulated,104
F2-GD-009,Facet 2,Group D,0.208504,simulated,104
F2-GD-010,Facet 2,Group D,0.012889,simulated,104
F2-GD-011,Facet 2,Group D,0.273405,simulated,104
F2-GD-012,Facet 2,Group D,-1.341607,simulated,104
F2-GD-013,Facet 2,Group D,-0.765858,simulated,104
F2-GD-014,Facet 2,Group D,-0.237287,simulated,104
F2-GD-015,Facet 2,Group D,-0.068762,simulated,104
F2-GD-016,Facet 2,Group D,0.845924,simulated,104
F2-GD-017,Facet 2,Group D,-0.384871,simulated,104
F2-GD-018,Facet 2,Group D,0.356864,simulated,104
F2-GD-019,Facet 2,Group D,-0.281273,simulated,104
F2-GD-020,Facet 2,Group D,0.255188,simulated,104
F2-GD-021,Facet 2,Group D,0.841563,simulated,104
F2-GD-022,Facet 2,Group D,0.958785,simulated,104
F2-GD-023,Facet 2,Group D,0.708079,simulated,104
F2-GD-024,Facet 2,Group D,0.052150,simulated,104
F2-GD-025,Facet 2,Group D,-0.032166,simulated,104
F2-GD-026,Facet 2,Group D,0.623762,simulated,104
