id,group,condition,value,source_type,source_seed
G2-S011,Group B,Condition 1,-0.336753,simulated,173
G2-S011,Group B,Condition 2,-0.684382,simulated,173
G2-S011,Group B,Condition 3,-0.044740,simulated,173
G2-S012,Group B,Condition 1,0.138903,simulated,173
G2-S012,Group B,Condition 2,-0.612015,simulated,173
G2-S012,Group B,Condition 3,0.038610,simulated,173
G2-S013,Group B,Condition 1,0.421779,simulated,173
G2-S013,Group B,Condition 2,0.350970,simulated,173
G2-S013,Group B,Condition 3,-0.245070,simulated,173
G2-S014,Group B,Condition 1,-0.088108,simulated,173
G2-S014,Group B,Condition 2,0.449966,simulated,173
G2-S014,Group B,Condition 3,-0.167598,simulated,173
G2-S015,Group B,Condition 1,-1.149707,simulated,173
G2-S015,Group B,Condition 2,-0.293535,simulated,173
G2-S015,Group B,Condition 3,-0.802698,simulated,173
G3-S001,Group C,Condition 1,0.356562,simulated,173
G3-S001,Group C,Condition 2,0.178041,simulated,173
G3-S001,Group C,Condition 3,-0.165728,simulated,173
G3-S002,Group C,Condition 1,0.207043,simulated,173
G3-S002,Group C,Condition 2,-0.234847,simulated,173
G3-S002,Group C,Condition 3,0.185098,simulated,173
G3-S003,Group C,Condition 1,1.162799,simulated,173
G3-S003,Group C,Condition 2,1.349229,simulated,173
G3-S003,Group C,Condition 3,0.885039,simulated,173
G3-S004,Group C,Condition 1,-1.208315,simulated,173
G3-S004,Group C,Condition 2,-1.009304,simulated,173
G3-S004,Group C,Condition 3,-1.345374,simulated,173
G3-S005,Group C,Condition 1,-0.588751,simulated,173
G3-S005,Group C,Condition 2,-1.274419,simulated,173
G3-S005,Group C,Condition 3,-1.318129,simulated,173
G3-S006,Group C,Condition 1,-0.786346,simulated,173
G3-S006,Group C,Condition 2,-0.396277,simulated,173
G3-S006,Group C,Condition 3,-0.277652,simulated,173
G3-S007,Group C,Condition 1,0.505617,simulated,173
G3-S007,Group C,Condition 2,-0.275591,simulated,173
G3-S007,Group C,Condition 3,-0.352095,simulated,173
G3-S008,Group C,Condition 1,-0.200037,simulated,173
G3-S008,Group C,Condition 2,-0.904606,simulated,173
G3-S008,Group C,Condition 3,-0.305098,simulated,173
G3-S009,Group C,Condition 1,1.510769,simulated,173
G3-S009,Group C,Condition 2,1.266945,simulated,173
G3-S009,Group C,Condition 3,1.650681,simulated,173
G3-S010,Group C,Condition 1,0.236865,simulated,173
G3-S010,Group C,Condition 2,-0.249726,simulated,173
G3-S010,Group C,Condition 3,0.208870,simulated,173
G3-S011,Group C,Condition 1,-0.153852,simulated,173
G3-S011,Group C,Condition 2,-0.982869,simulated,173
G3-S011,Group C,Condition 3,-0.236257,simulated,173
G3-S012,Group C,Condition 1,0.912760,simulated,173
G3-S012,Group C,Condition 2,0.516228,simulated,173
G3-S012,Group C,Condition 3,0.062092,simulated,173
G3-S013,Group C,Condition 1,-0.168034,simulated,173
G3-S013,Group C,Condition 2,-0.741748,simulated,173
G3-S013,Group C,Condition 3,-0.557501,simulated,173
G3-S014,Group C,Condition 1,0.641665,simulated,173
G3-S014,Group C,Condition 2,0.432008,simulated,173
G3-S014,Group C,Condition 3,0.377781,simulated,173
G3-S015,Group C,Condition 1,0.274773,simulated,173
G3-S015,Group C,Condition 2,-0.273369,simulated,173
G3-S015,Group C,Condition 3,0.392000,simulated,173
G3-S016,Group C,Condition 1,0.173160,simulated,173
G3-S016,Group C,Condition 2,0.209377,simulated,173
G3-S016,Group C,Condition 3,0.370834,simulated,173
G3-S017,Group C,Condition 1,0.952385,simulated,173
G3-S017,Group C,Condition 2,0.590178,simulated,173
G3-S017,Group C,Condition 3,0.293890,simulated,173
